array_size,num_threads,bucket_capacity,random_time,distribute_time,sort_time,rewrite_time,total_time
16777216,8,65536,0.0130216731,0.6558439178,0.2450875565,0.0058563001,0.9111164815
16777216,12,16,0.0099345591,0.3900041495,0.0467850051,0.0101849059,0.5036031215
16777216,12,64,0.0102424662,0.3870464813,0.0664181472,0.0055305431,0.4847955597
16777216,12,256,0.0106772914,0.3811016789,0.0883378107,0.0050849609,0.4837765335
16777216,12,1024,0.0104551228,0.3856918768,0.1055808947,0.0040796567,0.5014270774
16777216,12,4096,0.0102834378,0.4060322525,0.1244402354,0.0039762270,0.5394365957
16777216,12,16384,0.0103776286,0.4712509723,0.1452041592,0.0039749430,0.6250506714
16777216,12,65536,0.0090606987,0.6551664393,0.1690088509,0.0040918269,0.8329903003
67108864,1,16,0.4307753575,15.0360892825,2.1656840227,0.2380677077,17.7167617742
67108864,1,64,0.4074606892,13.0098636566,3.1874518844,0.1929721385,16.4511436483
67108864,1,256,0.4075205368,8.9060677787,4.1385746600,0.1817450847,13.2514205400
67108864,1,1024,0.4084380790,4.5108434099,5.0507260111,0.1790468715,9.7594423202
67108864,1,4096,0.4076066989,3.6620058220,5.9575232304,0.1786698725,9.8147835485
67108864,1,16384,0.4078208600,2.5238987699,6.8630713316,0.1780079871,9.5805998373
67108864,1,65536,0.4079128216,1.9921530634,7.8160442173,0.1778907872,10.0015136875
67108864,2,16,0.2038168179,7.6136745816,1.1040799386,0.1422228704,9.1080443371
67108864,2,64,0.2034264009,6.3059318949,1.5857484292,0.0980820168,8.0536845190
67108864,2,256,0.2038901353,4.1576142736,2.0637305000,0.0916552001,6.3417675941
67108864,2,1024,0.2037363116,2.8901683486,2.5149882042,0.0898779279,5.5115591563
67108864,2,4096,0.2037535217,2.8828871106,2.9927329014,0.0894584481,5.9806398837
67108864,2,16384,0.2039055753,2.8048728778,3.4429852212,0.0893089031,6.3471018453
67108864,2,65536,0.2037001011,2.6631402236,3.9250129997,0.0892537987,6.6876096061
67108864,4,16,0.1025747413,4.5327329955,0.5596143561,0.0885144288,5.4043781097
67108864,4,64,0.1026352429,4.3303773231,0.7979713042,0.0524035443,5.2640091434
67108864,4,256,0.1020517457,2.1264807831,1.0308332485,0.0465960585,3.2294819863
67108864,4,1024,0.1025339024,3.3312895522,1.2645761440,0.0463516948,4.6603894552
67108864,4,4096,0.1026356893,3.2364124538,1.4877012532,0.0463487899,4.7830051458
67108864,4,16384,0.1025979572,3.1749894587,1.7258102519,0.0460429458,4.9576158380
67108864,4,65536,0.1024374897,3.2019257085,1.9559807424,0.0460862248,5.2150786356
67108864,8,16,0.0521273755,2.2447269621,0.2800780985,0.0529315951,2.8478689609
67108864,8,64,0.0516874068,2.3830594063,0.3983199847,0.0283013610,2.9016826799
67108864,8,256,0.0517185846,2.2049352755,0.5194130345,0.0246472633,2.7843383911
67108864,8,1024,0.0516148504,2.1432315379,0.6324498252,0.0237725597,2.8237916172
67108864,8,4096,0.0516557656,2.0826972456,0.7491898704,0.0235202821,2.8756861678
67108864,8,16384,0.0518539124,2.1999847493,0.8625496927,0.0231783329,3.1042545105
67108864,8,65536,0.0519523340,2.4702340008,0.9833229807,0.0232395235,3.4949178233
67108864,12,16,0.0367205167,1.5449942417,0.1889125740,0.0417892315,2.0090396468
67108864,12,64,0.0377933075,1.7096336563,0.2661854187,0.0208710012,2.0953400241
67108864,12,256,0.0373646082,1.6313418677,0.3456635015,0.0172811070,2.0334786450
67108864,12,1024,0.0389164971,1.5553418052,0.4217409604,0.0164106173,2.0190367497
67108864,12,4096,0.0390879199,1.5234086890,0.5003063630,0.0162040064,2.0629126121
67108864,12,16384,0.0382605078,1.6204216223,0.5784059471,0.0160022057,2.2350459811
67108864,12,65536,0.0377962007,1.8796384105,0.6577399022,0.0160957159,2.5746163713
